running on 6718 samples
training model...
trained model...
sample 1 correct, score = 0.227369
sample 1979 correct, score = 0.551794
sample 1980 no tones detected, score = 0.562896
sample 1981 incorrect/failed threshold, score = 0.621612
sample 1982 correct, score = 0.481535
sample 1983 incorrect/failed threshold, score = 0.585060
sample 1984 incorrect/failed threshold, score = 0.637569
sample 1985 correct, score = 0.549424
sample 1986 incorrect/failed threshold, score = 0.614459
sample 1987 correct, score = 0.520734
sample 1988 incorrect/failed threshold, score = 0.598756
sample 1989 correct, score = 0.512544
sample 1990 no tones detected, score = 0.571446
sample 1991 correct, score = 0.552985
sample 1992 no tones detected, score = 0.569220
sample 1993 correct, score = 0.486688
sample 1994 correct/failed threshold, score = 0.633815
sample 1995 incorrect/failed threshold, score = 0.588047
sample 1996 incorrect/failed threshold, score = 0.670783
sample 1997 correct, score = 0.558392
sample 1998 no tones detected, score = 0.536331
sample 1999 incorrect/failed threshold, score = 0.587664
sample 2000 no tones detected, score = 0.573443
sample 2001 tone not detected, 1 false positives, score = 0.570019
sample 2002 correct, score = 0.526975
sample 2003 incorrect/failed threshold, score = 0.636067
sample 2004 correct, score = 0.568456
sample 2005 no tones detected, score = 0.549260
sample 2006 correct, score = 0.493764
sample 2007 no tones detected, score = 0.577519
sample 2008 incorrect/failed threshold, score = 0.622088
sample 2009 incorrect/failed threshold, score = 0.596905
sample 2010 correct, score = 0.218456
sample 2011 no tones detected, score = 0.574538
sample 2012 incorrect/failed threshold, score = 0.587451
sample 2013 no tones detected, score = 0.578732
sample 2014 incorrect/failed threshold, score = 0.594693
sample 2015 no tones detected, score = 0.574983
sample 2016 incorrect/failed threshold, score = 0.600973
sample 2017 correct, score = 0.558838
sample 2018 correct, score = 0.552103
sample 2019 correct/failed threshold, score = 0.595784
sample 2020 no tones detected, score = 0.568852
sample 2021 incorrect/failed threshold, score = 0.603289
sample 2022 correct, score = 0.578799
sample 2023 correct, score = 0.528731
sample 2024 incorrect/failed threshold, score = 0.625365
sample 2025 no tones detected, score = 0.577818
sample 2026 no tones detected, score = 0.567993
sample 2027 correct, score = 0.483297
sample 2028 tone not detected, 1 false positives, score = 0.546129
sample 2029 no tones detected, score = 0.577779
sample 2030 no tones detected, score = 0.572196
sample 2031 incorrect/failed threshold, score = 0.658821
sample 2032 correct, score = 0.425568
sample 2033 no tones detected, score = 0.576396
sample 2034 no tones detected, score = 0.561428
sample 2035 correct/failed threshold, score = 0.588436
sample 2036 incorrect/failed threshold, score = 0.645352
sample 2037 incorrect/failed threshold, score = 0.617400
sample 2038 correct, score = 0.313990
sample 2039 tone not detected, 1 false positives, score = 0.561802
sample 2040 incorrect/failed threshold, score = 0.586620
sample 2041 incorrect/failed threshold, score = 0.597176
sample 2042 no tones detected, score = 0.544680
sample 2043 incorrect/failed threshold, score = 0.589288
sample 2044 incorrect/failed threshold, score = 0.596508
sample 2045 incorrect/failed threshold, score = 0.587587
sample 2046 no tones detected, score = 0.560117
sample 2047 incorrect/failed threshold, score = 0.600042
sample 2048 correct, score = 0.482961
sample 2049 correct, score = 0.545072
sample 2050 correct, score = 0.334722
sample 2051 correct, score = 0.291173
sample 2052 no tones detected, score = 0.561173
sample 2053 incorrect/failed threshold, score = 0.600821
sample 2054 correct, score = 0.554844
sample 2055 correct, score = 0.283752
sample 2056 correct, score = 0.475592
sample 2057 correct, score = 0.570966
sample 2058 incorrect/failed threshold, score = 0.607589
sample 2059 correct/failed threshold, score = 0.604541
sample 2060 incorrect/failed threshold, score = 0.603288
sample 2061 correct, score = 0.572074
sample 2062 correct/failed threshold, score = 0.610803
sample 2063 correct, score = 0.283860
sample 2064 correct, score = 0.300341
sample 2065 correct, score = 0.542888
sample 2066 correct, score = 0.563038
sample 2067 incorrect/failed threshold, score = 0.611965
sample 2068 incorrect/failed threshold, score = 0.602371
sample 2069 correct/failed threshold, score = 0.596658
sample 2070 correct, score = 0.495454
sample 2071 correct, score = 0.488095
sample 2072 correct/failed threshold, score = 0.628927
sample 2073 correct, score = 0.231819
sample 2074 incorrect/failed threshold, score = 0.594968
sample 2075 correct, score = 0.390302
sample 2076 correct, score = 0.569188
sample 2077 correct, score = 0.205995
sample 2078 no tones detected, score = 0.545222
sample 2079 tone not detected, 1 false positives, score = 0.490088
sample 2080 incorrect/failed threshold, score = 0.611585
sample 2081 incorrect/failed threshold, score = 0.603064
sample 2082 no tones detected, score = 0.566488
sample 2083 incorrect/failed threshold, score = 0.609227
sample 2084 incorrect/failed threshold, score = 0.633392
sample 2085 incorrect/failed threshold, score = 0.605428
sample 2086 incorrect/failed threshold, score = 0.617001
sample 2087 no tones detected, score = 0.551595
sample 2088 incorrect/failed threshold, score = 0.601071
sample 2089 correct, score = 0.494670
sample 2090 correct/failed threshold, score = 0.644226
sample 2091 no tones detected, score = 0.548147
sample 2092 correct/failed threshold, score = 0.584898
sample 2093 no tones detected, score = 0.567748
sample 2094 correct, score = 0.512672
sample 2095 incorrect/failed threshold, score = 0.615389
sample 2096 no tones detected, score = 0.568784
sample 2097 incorrect/failed threshold, score = 0.627799
sample 2098 correct, score = 0.485874
sample 2099 correct, score = 0.521994
sample 2100 correct, score = 0.560407
sample 2101 no tones detected, score = 0.579622
sample 2102 incorrect/failed threshold, score = 0.602350
sample 2103 no tones detected, score = 0.553010
sample 2104 correct, score = 0.558884
sample 2105 correct, score = 0.213081
sample 2106 incorrect/failed threshold, score = 0.596528
sample 2107 correct/failed threshold, score = 0.619192
sample 2108 correct, score = 0.539853
sample 2109 no tones detected, score = 0.552878
sample 2110 correct, score = 0.510950
sample 2111 no tones detected, score = 0.550474
sample 2112 correct, score = 0.512155
sample 2113 correct, score = 0.382133
sample 2114 incorrect/failed threshold, score = 0.586384
sample 2115 correct, score = 0.410060
sample 2116 no tones detected, score = 0.563046
sample 2117 incorrect/failed threshold, score = 0.596383
sample 2118 incorrect/failed threshold, score = 0.606423
sample 2119 correct, score = 0.571430
sample 2120 correct, score = 0.555055
sample 2121 correct, score = 0.513559
sample 2122 correct/failed threshold, score = 0.600962
sample 2123 no tones detected, score = 0.560498
sample 2124 incorrect/failed threshold, score = 0.595417
sample 2125 incorrect/failed threshold, score = 0.600474
sample 2126 incorrect/failed threshold, score = 0.602851
sample 2127 incorrect/failed threshold, score = 0.653639
sample 2128 no tones detected, score = 0.546505
sample 2129 incorrect/failed threshold, score = 0.589776
sample 2130 incorrect/failed threshold, score = 0.599271
sample 2131 incorrect/failed threshold, score = 0.611266
sample 2132 incorrect/failed threshold, score = 0.634528
sample 2133 incorrect/failed threshold, score = 0.585626
sample 2134 no tones detected, score = 0.570927
sample 2135 correct/failed threshold, score = 0.586972
sample 2136 correct, score = 0.497301
sample 2137 incorrect/failed threshold, score = 0.609259
sample 2138 no tones detected, score = 0.555290
sample 2139 incorrect/failed threshold, score = 0.593973
sample 2140 incorrect/failed threshold, score = 0.620423
sample 2141 correct, score = 0.391896
sample 2142 no tones detected, score = 0.579770
sample 2143 no tones detected, score = 0.559615
sample 2144 no tones detected, score = 0.577070
sample 2145 correct, score = 0.296423
sample 2146 tone not detected, 1 false positives, score = 0.381748
sample 2147 tone not detected, 1 false positives, score = 0.529086
sample 2148 correct/failed threshold, score = 0.599535
sample 2149 correct, score = 0.515918
sample 2150 correct, score = 0.560460
sample 2151 incorrect/failed threshold, score = 0.586354
sample 2152 incorrect/failed threshold, score = 0.591708
sample 2153 correct, score = 0.465671
sample 2154 tone not detected, 1 false positives, score = 0.468339
sample 2155 correct, score = 0.183971
sample 2156 tone not detected, 1 false positives, score = 0.469352
sample 2157 no tones detected, score = 0.576881
sample 2158 incorrect/failed threshold, score = 0.599591
sample 2159 correct, score = 0.572773
sample 2160 incorrect/failed threshold, score = 0.602098
sample 2161 tone not detected, 1 false positives, score = 0.530869
sample 2162 correct, score = 0.446337
sample 2163 correct, score = 0.452493
sample 2164 correct, score = 0.512846
sample 2165 correct/failed threshold, score = 0.598258
sample 2166 incorrect/failed threshold, score = 0.600294
sample 2167 correct, score = 0.418143
sample 2168 tone not detected, 1 false positives, score = 0.480569
sample 2169 incorrect/failed threshold, score = 0.609056
sample 2170 correct/failed threshold, score = 0.598089
sample 2171 no tones detected, score = 0.557438
sample 2172 incorrect/failed threshold, score = 0.608172
sample 2173 no tones detected, score = 0.577770
sample 2174 correct, score = 0.578028
sample 2175 incorrect/failed threshold, score = 0.625818
sample 2176 incorrect/failed threshold, score = 0.589666
sample 2177 incorrect/failed threshold, score = 0.599915
sample 2178 correct, score = 0.419481
sample 2179 correct, score = 0.566566
sample 2180 correct, score = 0.247899
sample 2181 incorrect/failed threshold, score = 0.603475
sample 2182 incorrect/failed threshold, score = 0.580155
sample 2183 correct, score = 0.321566
sample 2184 correct/failed threshold, score = 0.598240
sample 2185 correct, score = 0.205936
sample 2186 correct, score = 0.571378
sample 2187 incorrect/failed threshold, score = 0.650474
sample 2188 incorrect/failed threshold, score = 0.624295
sample 2189 no tones detected, score = 0.520292
sample 2190 correct/failed threshold, score = 0.590407
sample 2191 correct/failed threshold, score = 0.707272
sample 2192 incorrect/failed threshold, score = 0.598431
sample 2193 incorrect/failed threshold, score = 0.623650
sample 2194 tone not detected, 1 false positives, score = 0.521311
sample 2195 correct/failed threshold, score = 0.585093
sample 2196 incorrect/failed threshold, score = 0.616109
sample 2197 correct/failed threshold, score = 0.599227
sample 2198 correct, score = 0.497250
sample 2199 correct, score = 0.537554
sample 2200 incorrect/failed threshold, score = 0.591695
sample 2201 correct, score = 0.414790
sample 2202 incorrect/failed threshold, score = 0.596169
sample 2203 no tones detected, score = 0.579299
sample 2204 incorrect/failed threshold, score = 0.598679
sample 2205 correct, score = 0.173711
sample 2206 no tones detected, score = 0.578104
sample 2207 no tones detected, score = 0.561626
sample 2208 no tones detected, score = 0.545038
sample 2209 incorrect/failed threshold, score = 0.593730
sample 2210 correct, score = 0.498634
sample 2211 correct/failed threshold, score = 0.637471
sample 2212 no tones detected, score = 0.553245
sample 2213 incorrect/failed threshold, score = 0.616438
sample 2214 no tones detected, score = 0.560267
sample 2215 incorrect/failed threshold, score = 0.581205
sample 2216 incorrect/failed threshold, score = 0.601869
sample 2217 no tones detected, score = 0.552154
sample 2218 incorrect/failed threshold, score = 0.616925
sample 2219 no tones detected, score = 0.573180
sample 2220 correct, score = 0.572158
sample 2221 incorrect/failed threshold, score = 0.581547
sample 2222 correct, score = 0.523082
sample 2223 incorrect/failed threshold, score = 0.621020
sample 2224 incorrect/failed threshold, score = 0.582642
sample 2225 incorrect/failed threshold, score = 0.597467
sample 2226 correct, score = 0.520869
sample 2227 no tones detected, score = 0.570343
sample 2228 incorrect/failed threshold, score = 0.596954
sample 2229 correct/failed threshold, score = 0.634869
sample 2230 correct, score = 0.522059
sample 2231 correct, score = 0.344963
sample 2232 correct/failed threshold, score = 0.622042
sample 2233 correct, score = 0.402313
sample 2234 tone not detected, 1 false positives, score = 0.379776
sample 2235 correct, score = 0.477548
sample 2236 correct, score = 0.432039
sample 2237 correct, score = 0.568263
sample 2238 correct, score = 0.577701
sample 2239 correct, score = 0.569129
sample 2240 no tones detected, score = 0.555981
sample 2241 correct/failed threshold, score = 0.581176
sample 2242 incorrect/failed threshold, score = 0.611944
sample 2243 correct, score = 0.477846
sample 2244 incorrect/failed threshold, score = 0.613662
sample 2245 incorrect/failed threshold, score = 0.581145
sample 2246 no tones detected, score = 0.576962
sample 2247 no tones detected, score = 0.564414
sample 2248 incorrect/failed threshold, score = 0.606376
sample 2249 correct, score = 0.557213
sample 2250 correct, score = 0.379472
sample 2251 incorrect/failed threshold, score = 0.607343
sample 2252 correct, score = 0.406692
sample 2253 incorrect/failed threshold, score = 0.662269
sample 2254 incorrect/failed threshold, score = 0.588877
sample 2255 incorrect/failed threshold, score = 0.617708
sample 2256 correct, score = 0.285972
sample 2257 incorrect/failed threshold, score = 0.694125
sample 2258 tone not detected, 1 false positives, score = 0.486526
sample 2259 no tones detected, score = 0.579967
sample 2260 incorrect/failed threshold, score = 0.609133
sample 2261 correct, score = 0.578358
sample 2262 incorrect/failed threshold, score = 0.615049
sample 2263 incorrect/failed threshold, score = 0.593942
sample 2264 incorrect/failed threshold, score = 0.598308
sample 2265 correct, score = 0.477380
sample 2266 correct, score = 0.321464
sample 2267 incorrect/failed threshold, score = 0.623019
sample 2268 incorrect/failed threshold, score = 0.627023
sample 2269 incorrect/failed threshold, score = 0.614964
sample 2270 incorrect/failed threshold, score = 0.612490
sample 2271 correct, score = 0.507004
sample 2272 correct, score = 0.492955
sample 2273 incorrect/failed threshold, score = 0.623537
sample 2274 no tones detected, score = 0.559812
sample 2275 no tones detected, score = 0.572265
sample 2276 correct, score = 0.556254
sample 2277 incorrect/failed threshold, score = 0.602380
sample 2278 correct, score = 0.286878
sample 2279 correct, score = 0.552596
sample 2280 correct, score = 0.532422
sample 2281 correct, score = 0.355997
sample 2282 correct, score = 0.361881
sample 2283 correct, score = 0.489225
sample 2284 incorrect/failed threshold, score = 0.617268
sample 2285 correct, score = 0.367496
sample 2286 tone not detected, 1 false positives, score = 0.552497
sample 2287 incorrect/failed threshold, score = 0.617813
sample 2288 incorrect/failed threshold, score = 0.590075
sample 2289 correct/failed threshold, score = 0.620956
sample 2290 no tones detected, score = 0.574353
sample 2291 correct, score = 0.506202
sample 2292 correct/failed threshold, score = 0.594876
sample 2293 correct, score = 0.365719
sample 2294 incorrect/failed threshold, score = 0.619652
sample 2295 incorrect/failed threshold, score = 0.585014
sample 2296 incorrect/failed threshold, score = 0.615287
sample 2297 incorrect/failed threshold, score = 0.602892
sample 2298 correct, score = 0.283732
sample 2299 no tones detected, score = 0.566328
sample 2300 correct, score = 0.530075
sample 2301 incorrect/failed threshold, score = 0.606229
sample 2302 correct, score = 0.568630
sample 2303 tone not detected, 1 false positives, score = 0.445014
sample 2304 incorrect/failed threshold, score = 0.607384
sample 2305 correct, score = 0.507396
sample 2306 no tones detected, score = 0.576891
sample 2307 no tones detected, score = 0.558508
sample 2308 incorrect/failed threshold, score = 0.609945
sample 2309 correct, score = 0.419729
sample 2310 incorrect/failed threshold, score = 0.632839
sample 2311 no tones detected, score = 0.569061
sample 2312 correct/failed threshold, score = 0.608504
sample 2313 correct, score = 0.435104
sample 2314 correct/failed threshold, score = 0.582500
sample 2315 correct, score = 0.344699
sample 2316 tone not detected, 1 false positives, score = 0.376907
sample 2317 incorrect/failed threshold, score = 0.608644
sample 2318 incorrect/failed threshold, score = 0.609041
sample 2319 correct/failed threshold, score = 0.680377
sample 2320 no tones detected, score = 0.564991
sample 2321 no tones detected, score = 0.545197
sample 2322 no tones detected, score = 0.559647
sample 2323 incorrect/failed threshold, score = 0.590517
sample 2324 no tones detected, score = 0.573721
sample 2325 no tones detected, score = 0.535850
sample 2326 incorrect/failed threshold, score = 0.620645
sample 2327 correct, score = 0.139576
sample 2328 no tones detected, score = 0.578302
sample 2329 no tones detected, score = 0.542273
sample 2330 no tones detected, score = 0.578536
sample 2331 incorrect/failed threshold, score = 0.613731
sample 2332 incorrect/failed threshold, score = 0.619960
sample 2333 no tones detected, score = 0.554205
sample 2334 incorrect/failed threshold, score = 0.656682
sample 2335 incorrect/failed threshold, score = 0.589138
sample 2336 correct, score = 0.528760
sample 2337 correct, score = 0.551079
sample 2338 correct, score = 0.439630
sample 2339 correct, score = 0.549428
sample 2340 no tones detected, score = 0.578043
sample 2341 correct, score = 0.519138
sample 2342 correct/failed threshold, score = 0.672639
sample 2343 incorrect/failed threshold, score = 0.615151
sample 2344 incorrect/failed threshold, score = 0.581096
sample 2345 correct, score = 0.457223
sample 2346 no tones detected, score = 0.549550
sample 2347 no tones detected, score = 0.572396
sample 2348 no tones detected, score = 0.556786
sample 2349 no tones detected, score = 0.547424
sample 2350 no tones detected, score = 0.552751
sample 2351 correct, score = 0.572378
sample 2352 correct, score = 0.491702
sample 2353 correct, score = 0.517544
sample 2354 correct/failed threshold, score = 0.619945
sample 2355 incorrect/failed threshold, score = 0.583178
sample 2356 no tones detected, score = 0.575892
sample 2357 correct, score = 0.451094
sample 2358 incorrect/failed threshold, score = 0.626073
sample 2359 correct, score = 0.330652
sample 2360 tone not detected, 1 false positives, score = 0.469445
sample 2361 correct/failed threshold, score = 0.693780
sample 2362 correct, score = 0.545162
sample 2363 correct/failed threshold, score = 0.672019
sample 2364 correct/failed threshold, score = 0.614028
sample 2365 correct, score = 0.269404
sample 2366 correct, score = 0.573970
sample 2367 incorrect/failed threshold, score = 0.622730
sample 2368 incorrect/failed threshold, score = 0.597403
sample 2369 correct, score = 0.162539
sample 2370 incorrect/failed threshold, score = 0.619809
sample 2371 correct, score = 0.481507
sample 2372 incorrect/failed threshold, score = 0.747730
sample 2373 correct, score = 0.332299
sample 2374 correct, score = 0.480989
sample 2375 no tones detected, score = 0.554409
sample 2376 no tones detected, score = 0.550543
sample 2377 correct, score = 0.572721
sample 2378 correct, score = 0.417807
sample 2379 correct, score = 0.536270
sample 2380 correct, score = 0.458200
sample 2381 no tones detected, score = 0.551747
sample 2382 incorrect/failed threshold, score = 0.606194
sample 2383 no tones detected, score = 0.552942
sample 2384 correct, score = 0.490942
sample 2385 incorrect/failed threshold, score = 0.633352
sample 2386 correct, score = 0.341829
sample 2387 correct, score = 0.540069
sample 2388 correct/failed threshold, score = 0.609567
sample 2389 incorrect/failed threshold, score = 0.609258
sample 2390 incorrect/failed threshold, score = 0.623615
sample 2391 incorrect/failed threshold, score = 0.589293
sample 2392 incorrect/failed threshold, score = 0.591998
sample 2393 no tones detected, score = 0.555509
sample 2394 incorrect/failed threshold, score = 0.600359
sample 2395 no tones detected, score = 0.561741
sample 2396 incorrect/failed threshold, score = 0.594667
sample 2397 incorrect/failed threshold, score = 0.613448
sample 2398 incorrect/failed threshold, score = 0.593606
sample 2399 correct/failed threshold, score = 0.606256
sample 2400 correct, score = 0.577505
sample 2401 correct/failed threshold, score = 0.590258
sample 2402 no tones detected, score = 0.579648
sample 2403 correct/failed threshold, score = 0.603033
sample 2404 incorrect/failed threshold, score = 0.596511
sample 2405 incorrect/failed threshold, score = 0.607664
sample 2406 correct, score = 0.467270
sample 2407 incorrect/failed threshold, score = 0.604623
sample 2408 correct/failed threshold, score = 0.608636
sample 2409 incorrect/failed threshold, score = 0.629531
sample 2410 incorrect/failed threshold, score = 0.609563
sample 2411 no tones detected, score = 0.558644
sample 2412 incorrect/failed threshold, score = 0.611998
sample 2413 correct, score = 0.496200
sample 2414 incorrect/failed threshold, score = 0.596827
sample 2415 correct, score = 0.470536
sample 2416 incorrect/failed threshold, score = 0.628112
sample 2417 correct, score = 0.570060
sample 2418 incorrect/failed threshold, score = 0.780762
sample 2419 incorrect/failed threshold, score = 0.602438
sample 2420 correct, score = 0.540396
sample 2421 correct, score = 0.495131
sample 2422 incorrect/failed threshold, score = 0.637362
sample 2423 no tones detected, score = 0.575732
sample 2424 correct, score = 0.493423
sample 2425 no tones detected, score = 0.571117
sample 2426 incorrect/failed threshold, score = 0.598796
sample 2427 correct/failed threshold, score = 0.587994
sample 2428 no tones detected, score = 0.565130
sample 2429 correct, score = 0.568674
sample 2430 incorrect/failed threshold, score = 0.644524
sample 2431 correct, score = 0.524479
sample 2432 correct, score = 0.495124
sample 2433 correct, score = 0.438805
sample 2434 correct, score = 0.549633
sample 2435 incorrect/failed threshold, score = 0.597927
sample 2436 correct, score = 0.502387
sample 2437 correct, score = 0.566183
sample 2438 correct, score = 0.339731
sample 2439 incorrect/failed threshold, score = 0.605203
sample 2440 correct, score = 0.380266
sample 2441 incorrect/failed threshold, score = 0.611393
sample 2442 no tones detected, score = 0.578734
sample 2443 correct, score = 0.579798
sample 2444 no tones detected, score = 0.575514
sample 2445 correct, score = 0.573835
sample 2446 correct, score = 0.315157
sample 2447 correct, score = 0.571198
sample 2448 correct/failed threshold, score = 0.602695
sample 2449 incorrect/failed threshold, score = 0.581720
sample 2450 no tones detected, score = 0.554090
sample 2451 no tones detected, score = 0.547887
sample 2452 incorrect/failed threshold, score = 0.625634
sample 2453 correct, score = 0.137386
sample 2454 incorrect/failed threshold, score = 0.588660
sample 2455 incorrect/failed threshold, score = 0.583057
sample 2456 incorrect/failed threshold, score = 0.601975
sample 2457 correct/failed threshold, score = 0.588004
sample 2458 incorrect/failed threshold, score = 0.618677
sample 2459 incorrect/failed threshold, score = 0.586075
sample 2460 correct, score = 0.563035
sample 2461 correct/failed threshold, score = 0.592046
sample 2462 correct, score = 0.441491
sample 2463 incorrect/failed threshold, score = 0.605266
sample 2464 no tones detected, score = 0.574377
sample 2465 correct, score = 0.571002
sample 2466 correct, score = 0.263951
sample 2467 correct/failed threshold, score = 0.600503
sample 2468 correct, score = 0.506021
sample 2469 correct, score = 0.416133
sample 2470 correct, score = 0.270181
sample 2471 correct, score = 0.421977
sample 2472 correct, score = 0.523962
sample 2473 correct/failed threshold, score = 0.680221
sample 2474 incorrect/failed threshold, score = 0.582119
sample 2475 correct, score = 0.481845
sample 2476 correct, score = 0.469465
sample 2477 incorrect/failed threshold, score = 0.580169
sample 2478 correct, score = 0.561715
sample 2479 incorrect/failed threshold, score = 0.592420
sample 2480 incorrect/failed threshold, score = 0.618215
sample 2481 no tones detected, score = 0.571824
sample 2482 no tones detected, score = 0.556240
sample 2483 correct, score = 0.496140
sample 2484 incorrect/failed threshold, score = 0.585342
sample 2485 incorrect/failed threshold, score = 0.607510
sample 2486 incorrect/failed threshold, score = 0.611003
sample 2487 correct/failed threshold, score = 0.591317
sample 2488 incorrect/failed threshold, score = 0.714315
sample 2489 correct/failed threshold, score = 0.581210
sample 2490 incorrect/failed threshold, score = 0.618102
sample 2491 correct, score = 0.473592
sample 2492 incorrect/failed threshold, score = 0.612170
sample 2493 correct, score = 0.407320
sample 2494 no tones detected, score = 0.575269
sample 2495 tone not detected, 1 false positives, score = 0.499261
sample 2496 incorrect/failed threshold, score = 0.608027
sample 2497 incorrect/failed threshold, score = 0.639987
sample 2498 correct, score = 0.575635
sample 2499 incorrect/failed threshold, score = 0.583610
sample 2500 no tones detected, score = 0.570870
sample 2501 correct/failed threshold, score = 0.580352
sample 2502 tone not detected, 1 false positives, score = 0.481145
sample 2503 incorrect/failed threshold, score = 0.654046
sample 2504 correct/failed threshold, score = 0.595506
sample 2505 correct, score = 0.331470
sample 2506 correct, score = 0.551990
sample 2507 incorrect/failed threshold, score = 0.623663
sample 2508 correct, score = 0.523747
sample 2509 incorrect/failed threshold, score = 0.582905
sample 2510 tone not detected, 1 false positives, score = 0.571011
sample 2511 incorrect/failed threshold, score = 0.611393
sample 2512 correct, score = 0.485298
sample 2513 incorrect/failed threshold, score = 0.589325
sample 2514 incorrect/failed threshold, score = 0.621470
sample 2515 incorrect/failed threshold, score = 0.631643
sample 2516 correct/failed threshold, score = 0.596381
sample 2517 correct, score = 0.474443
sample 2518 correct, score = 0.508059
sample 2519 correct, score = 0.544689
sample 2520 incorrect/failed threshold, score = 0.623881
sample 2521 correct, score = 0.491837
sample 2522 correct, score = 0.573740
sample 2523 incorrect/failed threshold, score = 0.733728
sample 2524 incorrect/failed threshold, score = 0.598618
sample 2525 correct, score = 0.511557
sample 2526 incorrect/failed threshold, score = 0.604725
sample 2527 no tones detected, score = 0.551529
sample 2528 incorrect/failed threshold, score = 0.601142
sample 2529 correct, score = 0.502518
sample 2530 correct, score = 0.552941
sample 2531 correct, score = 0.470148
sample 2532 correct, score = 0.537651
sample 2533 correct, score = 0.549052
sample 2534 incorrect/failed threshold, score = 0.585948
sample 2535 tone not detected, 1 false positives, score = 0.385776
sample 2536 correct with 1 false positives, score = 0.571329
sample 2537 incorrect/failed threshold, score = 0.605454
sample 2538 correct, score = 0.559472
sample 2539 tone not detected, 1 false positives, score = 0.547663
sample 2540 incorrect/failed threshold, score = 0.608770
sample 2541 no tones detected, score = 0.569216
sample 2542 no tones detected, score = 0.567300
sample 2543 no tones detected, score = 0.577556
sample 2544 no tones detected, score = 0.561961
sample 2545 no tones detected, score = 0.576091
sample 2546 incorrect/failed threshold, score = 0.581256
sample 2547 correct, score = 0.522933
sample 2548 incorrect/failed threshold, score = 0.603344
sample 2549 incorrect/failed threshold, score = 0.588963
sample 2550 no tones detected, score = 0.571620
sample 2551 no tones detected, score = 0.565326
sample 2552 no tones detected, score = 0.560268
sample 2553 incorrect/failed threshold, score = 0.585927
sample 2554 tone not detected, 1 false positives, score = 0.568962
sample 2555 no tones detected, score = 0.550538
sample 2556 incorrect/failed threshold, score = 0.586163
sample 2557 incorrect/failed threshold, score = 0.588093
sample 2558 correct, score = 0.232813
sample 2559 no tones detected, score = 0.539048
sample 2560 incorrect/failed threshold, score = 0.612689
sample 2561 incorrect/failed threshold, score = 0.585466
sample 2562 no tones detected, score = 0.563733
sample 2563 correct, score = 0.568311
sample 2564 correct/failed threshold, score = 0.593396
sample 2565 no tones detected, score = 0.558937
sample 2566 incorrect/failed threshold, score = 0.591999
sample 2567 incorrect/failed threshold, score = 0.581102
sample 2568 incorrect/failed threshold, score = 0.606206
sample 2569 correct, score = 0.367915
sample 2570 no tones detected, score = 0.531618
sample 2571 no tones detected, score = 0.573707
sample 2572 no tones detected, score = 0.553044
sample 2573 no tones detected, score = 0.556457
sample 2574 incorrect/failed threshold, score = 0.597514
sample 2575 no tones detected, score = 0.564423
sample 2576 no tones detected, score = 0.543060
sample 2577 incorrect/failed threshold, score = 0.696587
sample 2578 correct, score = 0.487785
sample 2579 correct, score = 0.573925
sample 2580 no tones detected, score = 0.572081
sample 2581 incorrect/failed threshold, score = 0.584143
sample 2582 no tones detected, score = 0.565181
sample 2583 no tones detected, score = 0.553513
sample 2584 incorrect/failed threshold, score = 0.584760
sample 2585 no tones detected, score = 0.573116
sample 2586 no tones detected, score = 0.574844
sample 2587 incorrect/failed threshold, score = 0.581808
sample 2588 no tones detected, score = 0.574972
sample 2589 correct, score = 0.530438
sample 2590 no tones detected, score = 0.579914
sample 2591 tone not detected, 1 false positives, score = 0.508751
sample 2592 incorrect/failed threshold, score = 0.586702
sample 2593 incorrect/failed threshold, score = 0.600009
sample 2594 incorrect/failed threshold, score = 0.586592
sample 2595 incorrect/failed threshold, score = 0.609586
sample 2596 no tones detected, score = 0.564863
sample 2597 incorrect/failed threshold, score = 0.581624
sample 2598 incorrect/failed threshold, score = 0.582329
sample 2599 no tones detected, score = 0.561566
sample 2600 incorrect/failed threshold, score = 0.599732
sample 2601 correct, score = 0.390067
sample 2602 incorrect/failed threshold, score = 0.583902
sample 2603 incorrect/failed threshold, score = 0.581686
sample 2604 correct, score = 0.550092
sample 2605 incorrect/failed threshold, score = 0.595018
sample 2606 no tones detected, score = 0.577458
sample 2607 incorrect/failed threshold, score = 0.606932
sample 2608 correct, score = 0.377579
sample 2609 correct, score = 0.569032
sample 2610 no tones detected, score = 0.551932
sample 2611 no tones detected, score = 0.571011
sample 2612 no tones detected, score = 0.546353
sample 2613 incorrect/failed threshold, score = 0.582337
sample 2614 correct, score = 0.466352
sample 2615 correct, score = 0.527587
sample 2616 no tones detected, score = 0.573759
sample 2617 correct, score = 0.540226
sample 2618 incorrect/failed threshold, score = 0.599933
sample 2619 no tones detected, score = 0.571787
sample 2620 correct, score = 0.576224
sample 2621 incorrect/failed threshold, score = 0.591731
sample 2622 no tones detected, score = 0.576586
sample 2623 no tones detected, score = 0.572937
sample 2624 no tones detected, score = 0.544556
sample 2625 incorrect/failed threshold, score = 0.612262
sample 2626 correct, score = 0.285765
sample 2627 no tones detected, score = 0.558419
sample 2628 incorrect/failed threshold, score = 0.593279
sample 2629 no tones detected, score = 0.574576
sample 2630 incorrect/failed threshold, score = 0.596852
sample 2631 incorrect/failed threshold, score = 0.594134
sample 2632 incorrect/failed threshold, score = 0.596417
sample 2633 no tones detected, score = 0.571550
sample 2634 no tones detected, score = 0.574568
